partner,course,skills,rating,reviewcount,level,certificatetype,duration,crediteligibility,skills_list
Pontificia Universidad Católica de Chile,Magíster en Business Analytics,"{"" Leadership and Management"","" Strategy"","" Finance"","" Financial Analysis"","" Data Mining"","" Python Programming"","" R Programming"","" SQL""}",,,,Degree , 24 meses,True,"['python', 'sql', 'data mining', 'r programming', 'strategy', 'finance', 'leadership', 'python programming', 'financial analysis', 'leadership and management']"
Illinois Institute of Technology,Master of Data Science,,,,,Degree , 1 - 4 Years,True,[]
IIT Guwahati,Bachelor of Science in Data Science & AI,,,,,Degree , 4-8 years,True,[]
University of Illinois at Urbana-Champaign,Master of Business Administration (iMBA),"{"" Leadership and Management"","" Accounting"","" Finance"","" Financial Analysis"","" Financial Accounting"","" Business Analysis"","" Data Analysis"","" Strategy"","" Decision Making"","" Critical Thinking"","" Financial Management"","" Marketing"","" Strategy and Operations"","" Market Analysis"","" General Accounting"","" Taxes"","" Generally Accepted Accounting Principles (GAAP)"","" Entrepreneurship"","" Investment Management"","" Management Accounting"","" Market Research"","" Communication"","" Risk Management"","" Mergers & Acquisitions"","" Problem Solving"","" Regulations and Compliance"","" Cost Accounting"","" Probability & Statistics"","" Data Management"","" Account Management"","" Digital Marketing"","" Business Development"","" Accounts Payable and Receivable"","" Corporate Accouting"","" Exploratory Data Analysis"","" Marketing Management"","" Statistical Programming"","" Business Process Management"","" Business Psychology"","" Business Intelligence"","" Media Strategy & Planning"","" Behavioral Economics"","" Culture"","" Data Visualization"","" Leadership Development"","" Audit"","" Business Transformation"","" Innovation"","" Planning"","" Statistical Analysis"","" Product Strategy"","" Research and Design"","" Banking"","" Customer Analysis"","" General Statistics"","" Organizational Development"","" Performance Management"","" Brand Management"","" Cash Management"","" Python Programming"","" Sales"","" Business Communication"","" People Analysis"","" R Programming"","" Social Media"","" Correlation And Dependence"","" Creativity"","" Data Analysis Software"","" Machine Learning"","" Product Management"","" Securities Trading"","" Human Learning"","" Advertising"","" Business Design"","" Customer Relationship Management"","" Process Analysis"","" Design and Product"","" Influencing"","" Regression"","" Operational Analysis"","" People Management"","" Econometrics"","" Interactive Data Visualization"","" Adaptability"","" Budget Management"","" Change Management"","" Conflict Management"","" Marketing Design"","" Statistical Machine Learning"","" Project Management"","" Advertising Sales"","" Basic Descriptive Statistics"","" Big Data"","" Collaboration"","" Emotional Intelligence"","" Forecasting"","" Human Resources"","" Operations Management"","" Plot (Graphics)"","" Probability Distribution"","" Benefits"","" Data Model"","" Product Design"","" Negotiation"","" Algorithms"","" Data Structures"","" Data Visualization Software"","" Statistical Tests"","" Storytelling"","" Computer Programming"","" Data Mining"","" Employee Relations"","" Product Lifecycle"","" Securities Sales"","" Visualization (Computer Graphics)"","" Business Research"","" Machine Learning Algorithms"","" Supply Chain and Logistics"","" Contract Management"","" Extract"","" Transform"","" Load"","" Visual Design"","" Databases"","" Entrepreneurial Finance"","" Game Theory"","" Accounting Software"","" Experiment"","" Natural Language Processing"","" SQL"","" Theoretical Computer Science"","" Data Architecture"","" Microsoft Excel""}",,,,Degree , 2 – 3 years,True,"['social media', 'python', 'sql', 'machine learning', 'natural language processing', 'big data', 'data mining', 'data visualization', 'r programming', 'statistics', 'project management', 'risk management', 'change management', 'business analysis', 'business intelligence', 'strategy', 'marketing', 'finance', 'operations management', 'supply chain', 'leadership', 'negotiation', 'communication', 'problem solving', 'critical thinking', 'adaptability', 'creativity', 'emotional intelligence', 'data structures', 'algorithms', 'product management', 'market research', 'digital marketing', 'brand management', 'decision making', 'accounting software', 'forecasting', 'excel', 'financial management', 'corporate accouting', 'business research', 'data analysis software', 'machine learning algorithms', 'media strategy & planning', 'securities trading', 'collaboration', 'theoretical computer science', 'storytelling', 'exploratory data analysis', 'influencing', 'supply chain and logistics', 'basic descriptive statistics', 'advertising sales', 'python programming', 'people analysis', 'data management', 'performance management', 'probability & statistics', 'entrepreneurship', 'market analysis', 'management accounting', 'human resources', 'game theory', 'business design', 'data architecture', 'product lifecycle', 'probability distribution', 'accounting', 'customer relationship management', 'organizational development', 'process analysis', 'mergers & acquisitions', 'statistical analysis', 'culture', 'regression', 'correlation and dependence', 'design and product', 'financial analysis', 'computer graphics', 'planning', 'human learning', 'cash management', 'general accounting', 'data analysis', 'business development', 'entrepreneurial finance', 'taxes', 'statistical tests', 'budget management', 'contract management', 'computer science', 'visual design', 'benefits', 'marketing management', 'conflict management', 'computer programming', 'sales', 'databases', 'strategy and operations', 'employee relations', 'business transformation', 'audit', 'banking', 'research and design', 'data model', 'business communication', 'behavioral economics', 'experiment', 'cost accounting', 'innovation', 'financial accounting', 'marketing design', 'accounts payable and receivable', 'securities sales', 'interactive data visualization', 'product strategy', 'operational analysis', 'statistical machine learning', 'business process management', 'advertising', 'regulations and compliance', 'econometrics', 'investment management', 'leadership development', 'leadership and management', 'product design', 'business psychology', 'general statistics', 'customer analysis', 'people management', 'statistical programming', 'account management', 'data visualization software']"
Imperial College London,Postgraduate Certificate of Public Health,,,,,Postgraduate Diploma , 6 - 12 Months,False,[]
Imperial College London,Global Master of Public Health,"{"" Innovation"","" Entrepreneurship"","" Research and Design"","" Adaptability"","" Design and Product"","" Leadership and Management"","" Product Design"","" Brand Management"","" Business Development"","" Marketing""}",,,,Degree , 2 or 3 years,True,"['marketing', 'leadership', 'adaptability', 'brand management', 'entrepreneurship', 'design and product', 'business development', 'research and design', 'innovation', 'leadership and management', 'product design']"
Northeastern University,Master of Science in Data Analytics Engineering,,,,,Degree , 1 - 4 Years,True,[]
University of Maryland Global Campus,Bachelor of Science in Cybersecurity Management and Policy,,,,,Degree , 1 - 4 Years,True,[]
Louisiana State University,Master of Science in Leadership and Human Resource Development,,,,,Degree , 1 - 4 Years,True,[]
"University of California, Berkeley",Master of Advanced Study in Engineering,,,,,Degree , 1 - 4 Years,True,[]
